invokerItems,invokerSideHero1,invokerSideHero1Steam,invokerSideHero2,invokerSideHero2Steam,invokerSideHero3,invokerSideHero3Steam,invokerSideHero4,invokerSideHero4Steam,invokerSideRadiant,matchId,otherSideHero1,otherSideHero1Steam,otherSideHero2,otherSideHero2Steam,otherSideHero3,otherSideHero3Steam,otherSideHero4,otherSideHero4Steam,otherSideHero5,otherSideHero5Steam
"[20, 15, 76, 16, 237, 39, 29, 25, 38, 64, 65, 257, 47, 48, 60, 23, 38, 21, 22, 108, 57, 56, 69, 24, 122, 123, 58, 9, 118, 119, 61, 59, 60, 129, 58, 235, 56, 57, 69, 109, 110]",44,226076381,64,107449419,40,426813436,52,69497518,False,3311592308,93,369680965,9,111568542,90,205830213,36,109686177,16,76908982
"[20, 15, 76, 16, 20, 15, 76, 77, 29, 20, 34, 25, 16, 36, 64, 65, 38, 60, 23, 21, 22, 108, 57, 56, 69, 46, 24, 122, 46, 123, 47, 48, 61, 59, 60, 129, 58, 235, 1]",95,288863536,57,344410059,114,372399177,14,120459365,False,3298976637,11,41307878,80,215368393,59,143327451,36,236240334,9,256696289
"[20, 15, 76, 237, 16, 39, 20, 15, 76, 77, 265, 29, 25, 46, 64, 38, 46, 65, 60, 23, 46, 21, 22, 108, 46, 23, 57, 244, 99, 100, 46, 47, 48, 60, 61, 59, 129]",42,100210040,88,90371027,32,152364999,68,143204688,True,3289645959,69,352940517,40,201085092,14,120431881,64,66704789,13,131467881
"[20, 15, 76, 16, 39, 20, 38, 15, 76, 46, 77, 29, 38, 46, 20, 34, 36, 25, 38, 46, 46, 64, 65, 46, 46, 60, 23, 38, 21, 22, 108, 46, 1, 47, 48, 46, 23, 57, 244, 99, 100, 56, 57, 122, 69, 24, 123]",65,181522128,83,66620961,81,104070670,86,86568392,False,3310789511,14,40144634,3,85375207,60,174594851,106,170711479,95,127658378
"[20, 15, 76, 16, 237, 39, 29, 20, 15, 76, 77, 38, 25, 38, 46, 38, 46, 46, 64, 65, 46, 38, 60, 23, 38, 21, 38, 22, 46, 108, 46, 47, 48, 56, 57, 69, 122, 1, 24, 123, 23, 56, 101, 102]",9,156729901,102,115167894,12,115991881,86,96451961,True,3312264076,4,86745836,37,33491694,20,142833570,51,118844440,8,57839001
"[20, 15, 76, 38, 16, 39, 20, 15, 76, 77, 265, 38, 29, 38, 38, 25, 64, 65, 60, 23, 38, 21, 22, 38, 108, 47, 48, 1, 57, 56, 69, 122, 24, 123, 61, 59, 60, 129, 58, 235]",93,211851773,71,230608100,40,16452252,51,120340440,True,3296535491,8,158039779,84,135280668,39,87445711,14,189249239,48,117548559
"[12, 44, 28, 12, 28, 88, 12, 46, 29, 25, 46, 46, 64, 65, 46, 46, 20, 46, 13, 72, 244, 73, 28, 184, 46, 38, 185, 23, 21, 22, 60, 108, 46, 46, 58, 61, 59, 60, 129, 235, 47, 48]",23,78181911,32,127658378,14,114035408,65,92441957,True,3305849810,40,103812784,39,5067233,16,409134722,64,134506584,41,113892372
"[20, 15, 76, 16, 237, 20, 15, 76, 77, 29, 25, 46, 46, 43, 64, 38, 38, 65, 46, 60, 23, 46, 21, 22, 46, 46, 108, 47, 48, 1]",51,281845328,40,69459997,95,39672287,64,83516705,False,3308323835,82,129575149,7,99132107,32,118246313,109,168291251,76,20813743
"[20, 15, 76, 16, 39, 29, 44, 20, 46, 34, 38, 42, 36, 25, 17, 38, 63, 25, 265, 46, 64, 38, 38, 65, 60, 23, 21, 22, 38, 108, 1, 38, 46, 61, 59, 60, 129, 58, 235, 46, 46, 9, 46, 9, 118, 58, 119, 21, 8, 115, 116]",2,18139343,56,139801205,30,94832804,51,98424749,True,3291218940,20,193767174,46,114409509,50,68991700,95,120773498,7,125159967
"[20, 15, 76, 16, 39, 46, 20, 15, 76, 77, 29, 25, 38, 46, 46, 46, 64, 65, 23, 56, 101, 102, 60, 23, 46, 46, 21, 22, 108, 46, 47, 48, 56, 57, 122, 69, 24, 123, 21, 18, 262, 236, 263]",18,135499124,14,21469439,71,22333276,33,83798514,False,3305702407,21,118625894,51,212713081,81,11962194,75,61107038,32,100490064
